Breed,Affectionate With Family,Good With Young Children,Good With Other Dogs,Shedding Level,Coat Grooming Frequency,Drooling Level,Coat Type,Coat Length,Openness To Strangers,Playfulness Level,Watchdog/Protective Nature,Adaptability Level,Trainability Level,Energy Level,Barking Level,Mental Stimulation Needs
Brittany,3,4,4,3,3,1,Double; Wavy,Short,3,4,3,3,5,5,3,4
Brussels Griffon,4,3,3,3,3,1,Wiry; Smooth; Double,Short; Medium,4,4,3,4,4,3,4,3
Bull Terrier,4,3,1,3,2,1,Smooth,Short,4,4,3,3,3,4,3,4
Bulldog,4,3,3,3,3,3,Smooth,Short,4,4,3,3,4,3,2,3
Bullmastiff,4,3,3,3,1,3,Smooth,Short,3,3,5,3,4,4,1,4
Cairn Terrier,4,3,3,2,2,1,Wiry; Double,Medium,3,4,4,3,3,3,4,3
Canaan Dog,3,3,3,4,2,1,Smooth; Double,Short,3,3,4,3,4,3,5,3
Cane Corso,4,3,3,2,1,3,Smooth,Short,3,3,5,3,4,4,3,3
Cardigan Welsh Corgi,4,4,3,3,2,1,Double,Medium,4,4,3,3,4,4,5,4
Cavalier King Charles Spaniel,5,5,5,2,2,2,Wavy; Silky,Medium,4,3,3,3,4,3,3,3
Cesky Terrier,4,5,3,2,2,1,Wavy; Silky,Medium,4,3,3,4,3,3,3,3
Chesapeake Bay Retriever,4,3,3,3,3,2,Wiry; Wavy,Medium,3,3,4,4,5,4,3,4
Chihuahua,4,1,3,2,1,1,Smooth,Short; Medium,2,4,4,4,3,4,5,3
Chinese Crested,4,3,3,1,2,1,Hairless; Silky,Short; Medium,4,3,3,4,4,3,3,3
Chinese Shar-Pei,4,3,3,3,1,3,Smooth,Short,3,3,4,4,3,3,3,3
Chinook,4,5,5,3,3,1,Smooth,Medium,3,3,4,4,4,3,5,3
Chow Chow,4,3,2,3,3,3,Smooth; Rough; Double,Medium,2,3,5,3,3,3,1,3
Cirneco dell’Etna,4,4,4,1,1,0,Smooth,Short,4,4,3,4,4,3,2,4
Clumber Spaniel,4,3,3,3,2,4,Wavy; Silky,Medium,4,3,3,4,4,3,1,3
Cocker Spaniel,4,5,5,3,4,2,Double; Silky,Long,4,3,3,4,4,4,3,3
Collie,4,5,3,3,3,2,Smooth; Rough,Short; Long,3,4,3,4,4,3,5,3
Coton de Tulear,5,5,5,2,4,1,Double; Wavy,Long,5,4,3,4,4,3,1,3
Curly-Coated Retriever,5,5,3,2,1,1,Double; Curly,Short,3,4,4,4,4,4,3,3
Dachshund,5,3,4,2,2,2,Smooth,Short; Medium,4,4,4,4,4,3,5,3
Dalmatian,5,3,3,4,2,2,Smooth,Short,4,4,4,4,4,4,3,4
Dandie Dinmont Terrier,4,3,3,2,3,1,Double,Medium,4,3,4,3,4,3,3,3
Danish-Swedish Farmdog,5,5,5,2,1,1,Smooth,Short,5,4,4,4,4,4,3,4
