Breed,Family Life,Physical,Social,Personality,Average Rank,Popularity Tier,AKC Group
Chinese Shar-Pei,3.3333333333333335,2.3333333333333335,3.5,3.0,65.53846153846153,High Popularity,Non-Sporting Group
Chinook,4.666666666666667,2.3333333333333335,3.5,3.75,179.30769230769232,Low Popularity,Working Group
Chow Chow,3.0,3.0,3.25,2.5,80.15384615384616,Medium Popularity,Non-Sporting Group
Cirneco dell’Etna,4.0,0.6666666666666666,3.75,3.25,176.75,Low Popularity,Hound Group
Clumber Spaniel,3.3333333333333335,3.0,3.5,2.75,140.30769230769232,Low Popularity,Sporting Group
Cocker Spaniel,4.666666666666667,3.0,3.5,3.5,29.846153846153847,High Popularity,Sporting Group
Collie,4.0,2.6666666666666665,3.5,3.75,38.07692307692308,High Popularity,Herding Group
Coton de Tulear,5.0,2.3333333333333335,4.0,2.75,79.0,Medium Popularity,Non-Sporting Group
Curly-Coated Retriever,4.333333333333333,1.3333333333333333,3.75,3.5,163.0,Low Popularity,Sporting Group
Dachshund,4.0,2.0,4.0,3.75,9.923076923076923,High Popularity,Hound Group
Dalmatian,3.6666666666666665,2.6666666666666665,4.0,3.75,55.92307692307692,High Popularity,Non-Sporting Group
Dandie Dinmont Terrier,3.3333333333333335,2.0,3.5,3.25,177.0,Low Popularity,Terrier Group
Danish-Swedish Farmdog,5.0,1.3333333333333333,4.25,3.75,170.0,Low Popularity,Working Group
Doberman Pinscher,4.333333333333333,2.3333333333333335,4.25,4.25,15.538461538461538,High Popularity,Working Group
Dogo Argentino,3.6666666666666665,2.6666666666666665,4.25,4.25,87.85714285714286,Medium Popularity,Working Group
Dogue de Bordeaux,3.6666666666666665,3.3333333333333335,3.75,3.5,73.15384615384616,Medium Popularity,Working Group
English Cocker Spaniel,5.0,2.6666666666666665,3.5,3.5,48.76923076923077,High Popularity,Sporting Group
English Foxhound,5.0,2.0,3.75,4.25,190.69230769230768,Low Popularity,Hound Group
English Setter,4.333333333333333,3.0,3.75,3.5,95.23076923076923,Medium Popularity,Sporting Group
English Springer Spaniel,4.0,2.6666666666666665,3.75,4.0,26.923076923076923,High Popularity,Sporting Group
English Toy Spaniel,5.0,2.6666666666666665,3.5,2.75,136.6153846153846,Low Popularity,Toy Group
Entlebucher Mountain Dog,4.333333333333333,2.0,3.75,3.75,164.0,Low Popularity,Herding Group
Field Spaniel,4.666666666666667,2.3333333333333335,3.5,3.5,148.15384615384616,Low Popularity,Sporting Group
Finnish Lapphund,4.0,2.6666666666666665,3.5,3.75,159.84615384615384,Low Popularity,Herding Group
Finnish Spitz,4.666666666666667,2.3333333333333335,3.25,4.25,184.23076923076923,Low Popularity,Non-Sporting Group
Flat-Coated Retriever,5.0,2.3333333333333335,4.5,4.25,95.92307692307692,Medium Popularity,Sporting Group
French Bulldog,4.666666666666667,2.3333333333333335,4.5,2.75,4.0,High Popularity,Non-Sporting Group
German Pinscher,3.6666666666666665,1.6666666666666667,3.5,4.25,138.69230769230768,Low Popularity,Working Group
German Shepherd Dog,4.333333333333333,2.6666666666666665,4.25,4.5,2.8461538461538463,High Popularity,Herding Group
German Shorthaired Pointer,4.666666666666667,2.3333333333333335,4.0,4.5,10.153846153846153,High Popularity,Sporting Group
German Wirehaired Pointer,3.6666666666666665,2.0,3.75,4.25,63.15384615384615,High Popularity,Sporting Group
Giant Schnauzer,3.3333333333333335,2.6666666666666665,4.0,4.0,70.07692307692308,Medium Popularity,Working Group
Glen of Imaal Terrier,3.6666666666666665,2.3333333333333335,3.25,2.75,169.46153846153845,Low Popularity,Terrier Group
Golden Retriever,5.0,2.6666666666666665,4.25,3.25,3.076923076923077,High Popularity,Sporting Group
Gordon Setter,3.6666666666666665,3.0,3.5,4.25,106.61538461538461,Medium Popularity,Sporting Group
Grand Basset Griffon Vendéen,4.0,2.3333333333333335,4.0,4.0,189.375,Low Popularity,Hound Group
Great Dane,3.6666666666666665,2.6666666666666665,4.0,3.5,16.923076923076923,High Popularity,Working Group
Great Pyrenee,3.6666666666666665,2.6666666666666665,3.5,3.0,68.15384615384616,Medium Popularity,Working Group
Greater Swiss Mountain Dog,4.333333333333333,2.6666666666666665,4.0,3.75,77.6923076923077,Medium Popularity,Working Group
Greyhound,3.6666666666666665,1.3333333333333333,3.25,3.25,142.84615384615384,Low Popularity,Hound Group
Harrier,5.0,2.0,3.75,4.25,186.6153846153846,Low Popularity,Hound Group
Havanese,5.0,2.0,4.5,3.5,24.23076923076923,High Popularity,Toy Group
Ibizan Hound,4.333333333333333,1.3333333333333333,3.5,4.0,165.46153846153845,Low Popularity,Hound Group
Icelandic Sheepdog,4.666666666666667,2.3333333333333335,3.5,4.5,143.46153846153845,Low Popularity,Herding Group
Irish Red and White Setter,5.0,2.0,4.0,4.0,156.6153846153846,Low Popularity,Sporting Group
Irish Setter,5.0,2.6666666666666665,4.25,4.0,74.84615384615384,Medium Popularity,Sporting Group
Irish Terrier,3.6666666666666665,1.3333333333333333,3.75,3.25,124.92307692307692,Medium Popularity,Terrier Group
Irish Water Spaniel,3.6666666666666665,2.0,3.75,3.25,163.6153846153846,Low Popularity,Sporting Group
Irish Wolfhound,4.0,2.3333333333333335,3.5,2.5,75.76923076923077,Medium Popularity,Hound Group
Italian Greyhound,4.333333333333333,1.6666666666666667,4.0,3.25,67.23076923076923,Medium Popularity,Toy Group
Japanese Chin,4.333333333333333,2.0,3.25,2.75,102.84615384615384,Medium Popularity,Toy Group
Keeshond,5.0,2.6666666666666665,5.0,4.25,89.61538461538461,Medium Popularity,Non-Sporting Group
Kerry Blue Terrier,3.6666666666666665,2.0,3.5,3.75,135.46153846153845,Low Popularity,Terrier Group
Komondor,3.3333333333333335,2.3333333333333335,3.5,3.25,175.07692307692307,Low Popularity,Working Group
Kuvasz,3.6666666666666665,2.3333333333333335,3.75,3.5,165.6153846153846,Low Popularity,Working Group
Labrador Retriever,5.0,2.6666666666666665,4.5,4.25,1.3076923076923077,High Popularity,Sporting Group
Lagotto Romagnolo,4.333333333333333,1.6666666666666667,3.75,3.5,89.9,Medium Popularity,Sporting Group
Lakeland Terrier,3.6666666666666665,1.6666666666666667,3.5,3.25,145.46153846153845,Low Popularity,Terrier Group
Lancashire Heeler,5.0,1.6666666666666667,3.75,4.0,189.5,Low Popularity,Herding Group
Leonberger,4.333333333333333,3.6666666666666665,4.0,3.75,99.0,Medium Popularity,Working Group
Lhasa Apso,3.6666666666666665,1.6666666666666667,4.0,3.0,77.15384615384616,Medium Popularity,Non-Sporting Group
Lowchen,4.333333333333333,1.6666666666666667,3.75,3.25,161.76923076923077,Low Popularity,Non-Sporting Group
Maltese,3.6666666666666665,2.0,3.5,3.0,34.76923076923077,High Popularity,Toy Group
Manchester Terrier,4.0,1.6666666666666667,3.75,3.75,130.23076923076923,Medium Popularity,Terrier Group
Mastiff,4.333333333333333,2.6666666666666665,3.75,2.5,32.07692307692308,High Popularity,Working Group
Miniature American Shepherd,5.0,2.6666666666666665,3.5,4.5,30.7,High Popularity,Herding Group
Miniature Bull Terrier,3.6666666666666665,1.6666666666666667,3.75,4.0,113.3076923076923,Medium Popularity,Terrier Group
Miniature Pinscher,4.0,1.6666666666666667,4.0,4.5,69.3076923076923,Medium Popularity,Toy Group
Miniature Schnauzer,4.333333333333333,3.0,4.0,4.25,17.46153846153846,High Popularity,Terrier Group
Mudi,3.6666666666666665,1.6666666666666667,4.0,4.25,131.75,Medium Popularity,Herding Group
Neapolitan Mastiff,3.0,3.3333333333333335,3.25,2.25,110.07692307692308,Medium Popularity,Working Group
Nederlandse Kooikerhondje,3.6666666666666665,2.3333333333333335,3.5,4.0,159.625,Low Popularity,Sporting Group
Newfoundland,5.0,3.3333333333333335,4.25,2.5,40.38461538461539,High Popularity,Working Group
Norfolk Terrier,4.333333333333333,2.0,4.25,3.75,130.76923076923077,Medium Popularity,Terrier Group
